# T0.100000, T1.100000, T2.100000, 
0.057528, 0.127264, 0.030752, 
0.047732, 0.061264, 0.055268, 
0.006228, -0.064016, -0.053100, 
-0.095840, -0.005388, 0.073740, 
-0.118008, 0.123684, -0.066600, 
-0.009672, 0.075356, 0.069908, 
0.005312, 0.051052, 0.011744, 
0.040752, 0.008612, 0.048256, 
0.075372, 0.001084, 0.036880, 
0.184724, -0.036660, -0.025616, 
0.102424, -0.015288, -0.045848, 
0.001464, -0.028884, -0.096004, 
0.027440, -0.053508, 0.028712, 
0.115644, -0.120924, 0.006740, 
-0.002604, 0.018500, -0.034424, 
-0.002304, -0.003028, -0.031704, 
0.071732, -0.095084, -0.011920, 
-0.001764, 0.013576, -0.102724, 
0.112276, 0.094668, 0.028024, 
-0.021396, -0.173307, 0.045968, 
-0.091908, 0.049672, -0.001056, 
0.041632, -0.017784, 0.036820, 
-0.000064, 0.049520, -0.067324, 
0.095100, 0.104420, -0.064052, 
-0.023960, 0.114356, -0.007324, 
-0.088264, -0.037332, 0.050712, 
-0.039280, -0.029016, 0.042844, 
0.075592, -0.013768, -0.000656, 
-0.010600, -0.074908, -0.064136, 
0.031032, 0.029744, 0.071008, 
0.001128, 0.077228, 0.069976, 
0.059796, 0.006660, -0.008568, 
0.033704, 0.073364, -0.002536, 
0.061636, 0.070796, -0.039072, 
-0.102956, 0.194764, -0.000176, 
0.130232, -0.035804, 0.008616, 
0.047324, 0.136128, -0.031376, 
0.019980, -0.119548, -0.051940, 
0.037604, -0.076936, 0.031388, 
0.197452, 0.076392, 0.054116, 
0.044972, 0.147672, 0.009848, 
-0.097184, -0.000316, -0.010804, 
-0.100084, 0.009228, -0.012156, 
0.001060, 0.011248, -0.064324, 
-0.099584, -0.003836, -0.021252, 
-0.080188, 0.072888, -0.008752, 
-0.003572, 0.231397, 0.104588, 
0.163635, -0.124536, 0.071520, 
0.129984, -0.121440, 0.032960, 
-0.052088, -0.034840, 0.012424, 
0.015664, 0.103528, 0.025860, 
0.034348, -0.068716, -0.067352, 
-0.025588, 0.020028, 0.017740, 
-0.045004, -0.185336, -0.030380, 
0.003080, -0.057188, 0.012788, 
-0.013540, -0.170639, 0.036832, 
0.075748, 0.032756, 0.047380, 
0.020924, 0.035028, 0.082112, 
0.023560, -0.157036, -0.105348, 
-0.163108, -0.122400, 0.024324, 
-0.009388, 0.009192, -0.089536, 
0.116796, 0.064168, 0.099920, 
0.005504, 0.017544, 0.049548, 
0.223829, 0.055524, -0.024860, 
0.078752, 0.047620, 0.064292, 
-0.037788, -0.107264, -0.075672, 
0.094912, 0.022436, 0.030812, 
0.014616, 0.015696, 0.025192, 
-0.208432, -0.124028, 0.109544, 
-0.019104, 0.089268, 0.133108, 
0.044488, -0.010284, -0.012788, 
0.199771, 0.076796, 0.075316, 
-0.059060, -0.051452, 0.015444, 
0.095728, -0.081084, -0.005048, 
-0.093184, -0.001212, -0.014372, 
0.067088, 0.011424, -0.024888, 
0.076796, 0.023172, 0.037020, 
0.087844, -0.001648, -0.105200, 
0.075876, -0.147560, -0.038180, 
0.049408, 0.005380, -0.085688, 
0.070468, -0.022180, 0.091344, 
0.090700, -0.045656, 0.079740, 
0.014156, 0.058720, 0.208636, 
-0.128748, 0.012408, 0.015712, 
0.091560, 0.166668, -0.072864, 
0.088780, 0.170080, 0.079704, 
0.068500, -0.014712, -0.030928, 
0.127816, 0.024412, -0.040644, 
0.043404, -0.120364, -0.033664, 
-0.106828, -0.000956, -0.053372, 
0.048744, 0.099932, 0.045780, 
0.102488, -0.029076, 0.052328, 
-0.033872, 0.156580, -0.002036, 
0.052492, 0.218160, 0.028148, 
0.003676, 0.148316, 0.034948, 
0.058844, -0.062620, 0.042292, 
-0.028264, 0.152440, 0.040352, 
-0.010108, 0.000316, -0.030720, 
-0.016444, 0.124888, 0.009192, 
-0.023196, 0.025852, -0.019748, 
-0.069276, -0.140424, -0.103936, 
0.003124, -0.146404, 0.058792, 
0.075904, -0.056608, 0.063116, 
-0.036136, 0.009288, 0.036676, 
-0.090748, -0.017192, 0.033388, 
-0.017532, 0.006020, -0.060888, 
0.108896, 0.047860, 0.042576, 
0.062840, -0.049016, 0.073912, 
-0.035620, -0.045588, 0.079460, 
-0.019112, 0.081812, -0.025288, 
0.083820, -0.080732, 0.054536, 
0.242143, 0.091848, -0.027280, 
0.039140, -0.095640, 0.042772, 
-0.057072, 0.122640, 0.025864, 
-0.080012, 0.080272, 0.035504, 
-0.037816, 0.001472, -0.040044, 
-0.105228, -0.144384, 0.035832, 
-0.025676, 0.001572, 0.064104, 
0.065160, 0.117688, -0.049436, 
0.026132, 0.006032, -0.029416, 
0.022840, -0.131804, 0.018892, 
0.146992, 0.055224, -0.009724, 
-0.006116, -0.022324, 0.153724, 
-0.014552, 0.016688, -0.085228, 
-0.101120, -0.038944, -0.042908, 
0.095744, 0.070128, 0.011068, 
-0.100896, -0.033060, -0.077684, 
-0.035016, 0.075812, -0.050368, 
-0.064456, 0.100232, 0.080856, 
0.002304, 0.102620, 0.067364, 
0.053652, 0.033620, -0.091340, 
0.071976, 0.004124, -0.057076, 
-0.000684, 0.103364, -0.024852, 
-0.038688, 0.067088, -0.047968, 
0.147160, -0.104428, -0.014072, 
-0.067560, 0.009024, -0.054260, 
0.083044, -0.058032, -0.056108, 
0.051604, 0.017256, -0.057000, 
0.229075, 0.088516, -0.035220, 
0.016732, -0.020260, 0.011840, 
-0.162020, -0.016520, -0.055096, 
-0.135024, -0.106844, -0.067068, 
-0.084436, -0.033924, -0.039456, 
0.074608, -0.059312, 0.027820, 
-0.138708, 0.044048, 0.133704, 
0.125732, 0.100616, 0.074700, 
0.013512, 0.078676, 0.032468, 
0.161212, 0.021836, -0.019116, 
-0.007076, -0.053484, 0.001920, 
0.037528, 0.003340, 0.033888, 
-0.089588, -0.019088, 0.068480, 
-0.053576, 0.054508, -0.002036, 
-0.018184, -0.128520, 0.046252, 
-0.058004, 0.300917, -0.083212, 
-0.048472, 0.006416, 0.048696, 
0.079724, -0.094572, 0.006144, 
0.013996, -0.049060, -0.133712, 
-0.221803, 0.038244, -0.054332, 
0.180940, -0.030872, -0.046328, 
-0.085380, 0.037268, 0.001328, 
0.004728, -0.154528, 0.087052, 
-0.078360, -0.184092, 0.032764, 
0.190923, 0.069988, 0.008620, 
0.233456, -0.025668, -0.075396, 
-0.095404, -0.021828, -0.020380, 
-0.020608, -0.036652, -0.023748, 
-0.057568, 0.047744, 0.055600, 
0.021020, -0.017332, 0.027464, 
0.001888, 0.009968, -0.035352, 
0.032740, 0.003068, 0.103508, 
0.011292, -0.080752, 0.033744, 
-0.073760, 0.047892, -0.145460, 
-0.202399, 0.051428, 0.060204, 
-0.084640, 0.123468, -0.018296, 
0.085584, -0.035380, -0.023308, 
-0.174332, 0.112588, -0.024732, 
-0.216140, 0.061896, -0.051388, 
0.040088, -0.007512, -0.002856, 
-0.070796, 0.202464, 0.036772, 
-0.048852, 0.101068, -0.033104, 
-0.098288, 0.066676, 0.136252, 
0.013004, 0.127168, 0.092632, 
-0.057628, 0.089540, 0.030748, 
-0.093076, 0.004144, -0.067488, 
0.087664, 0.010272, 0.006760, 
-0.006492, -0.020760, -0.008416, 
-0.003744, 0.124116, 0.028400, 
0.086856, 0.107380, -0.003024, 
-0.126140, 0.002200, -0.010432, 
0.011604, 0.097176, -0.046156, 
-0.143104, -0.064508, -0.073672, 
0.094404, -0.107232, -0.015684, 
0.091312, 0.096380, 0.012084, 
0.082040, 0.023572, 0.004656, 
0.010124, -0.091684, 0.014576, 
-0.009668, 0.030720, 0.019036, 
-0.169652, 0.100176, -0.141864, 
0.032040, 0.047944, 0.077936, 
-0.115760, 0.033696, 0.000944, 
-0.184052, 0.102012, 0.047356, 
0.022844, -0.052644, 0.052284, 
0.064028, 0.058136, 0.043896, 
-0.002940, 0.067640, -0.017524, 
0.069508, -0.015704, -0.105892, 
0.076756, -0.189688, -0.052412, 
0.120032, 0.055260, 0.056176, 
0.060276, -0.066432, -0.015192, 
-0.075832, 0.028472, -0.000584, 
-0.068476, 0.041492, -0.013816, 
0.096520, 0.036940, -0.119840, 
-0.061640, -0.068476, -0.103692, 
-0.117888, 0.025008, 0.070472, 
-0.195148, 0.043260, 0.051704, 
0.029840, -0.059552, -0.017240, 
0.115020, -0.062912, -0.116556, 
0.042260, 0.053828, 0.047332, 
0.015412, -0.088632, 0.089648, 
0.083224, -0.084580, 0.042444, 
-0.035644, 0.119312, -0.018844, 
0.157032, 0.091512, 0.156376, 
-0.086500, 0.003424, -0.104736, 
-0.067812, -0.055920, -0.041744, 
-0.139180, -0.076836, 0.161552, 
0.004044, 0.000312, 0.058520, 
0.046336, 0.007780, 0.084628, 
0.047820, -0.044188, 0.048192, 
0.135628, 0.088508, -0.031944, 
0.056964, -0.067788, -0.022756, 
0.120060, 0.070952, 0.014132, 
-0.173136, -0.052364, -0.007884, 
0.052164, 0.067148, -0.113444, 
0.128888, -0.028788, -0.015680, 
-0.021016, 0.069360, 0.074844, 
-0.258588, -0.111164, 0.110596, 
0.010032, -0.052100, 0.050248, 
0.023404, -0.094284, -0.102540, 
-0.090916, -0.040816, 0.094752, 
-0.008820, -0.030412, -0.023248, 
-0.141740, -0.006140, 0.070860, 
0.024060, 0.044564, 0.033092, 
0.102460, -0.081088, -0.015236, 
-0.025016, -0.037728, 0.055008, 
0.071740, -0.101804, -0.006220, 
-0.023484, -0.105764, 0.122736, 
0.103736, 0.057492, 0.030356, 
-0.028480, -0.021216, -0.024880, 
-0.097684, 0.014656, -0.075612, 
-0.074632, -0.019044, -0.009592, 
0.082588, 0.121124, 0.084464, 
0.008840, -0.001804, 0.048748, 
0.011644, 0.167704, 0.018496, 
0.029332, 0.033112, -0.015592, 
-0.096432, 0.023984, -0.012004, 
0.004300, 0.009904, -0.049784, 
0.059408, -0.085156, -0.061300, 
0.044640, 0.015012, -0.051748, 
-0.015848, 0.065332, 0.018376, 
-0.015468, -0.113548, 0.047888, 
0.005420, -0.107672, -0.029516, 
0.046640, 0.115728, -0.043916, 
0.108240, 0.034928, -0.045736, 
-0.055964, 0.045180, 0.008880, 
0.048336, -0.027736, 0.002984, 
0.075112, 0.020312, -0.031768, 
-0.062448, 0.064860, 0.020504, 
-0.035860, -0.066152, 0.055912, 
-0.236580, -0.150568, 0.020900, 
-0.080360, 0.032312, -0.025384, 
-0.051508, 0.013576, -0.077700, 
0.028408, 0.023684, -0.040764, 
-0.054672, -0.079664, 0.071068, 
-0.155032, -0.033868, -0.003892, 
-0.069640, 0.046224, -0.006500, 
-0.041052, 0.005832, 0.039668, 
-0.055500, 0.000780, -0.101444, 
-0.121528, 0.023092, -0.051520, 
-0.007036, -0.001672, 0.053032, 
0.099300, 0.002592, -0.021044, 
-0.083180, -0.021688, 0.151768, 
0.000776, 0.036964, -0.056972, 
0.060656, 0.007916, 0.106988, 
0.083236, 0.033680, 0.003816, 
0.104128, -0.197536, 0.020244, 
0.073332, 0.063496, 0.044028, 
-0.077188, 0.079680, -0.032016, 
-0.049472, 0.126468, 0.107176, 
-0.049908, 0.045388, -0.032844, 
-0.012620, -0.106308, -0.024040, 
-0.178340, -0.066044, 0.121440, 
-0.118296, -0.151288, -0.007796, 
0.028836, -0.002156, 0.130332, 
0.044080, 0.064536, 0.039068, 
0.095120, 0.059136, -0.039552, 
-0.024272, -0.009884, 0.047628, 
0.013036, 0.079960, -0.029964, 
-0.036272, 0.082524, 0.003760, 
0.134008, -0.078472, -0.065060, 
-0.022808, 0.070980, -0.053208, 
-0.053356, -0.003084, 0.106872, 
0.076328, -0.044264, -0.046384, 
-0.046072, 0.051100, -0.022888, 
0.061500, -0.167352, 0.071080, 
0.098900, -0.019892, 0.084168, 
0.092268, 0.003544, -0.065344, 
-0.040904, 0.046044, 0.021928, 
-0.104960, 0.093556, -0.013564, 
-0.011732, -0.042856, -0.007060, 
0.062320, -0.159076, -0.012128, 
-0.112636, 0.004480, 0.029244, 
-0.129872, -0.110176, 0.014324, 
-0.115968, 0.068980, 0.091048, 
0.118584, -0.058680, 0.041872, 
0.104580, 0.028220, -0.014448, 
0.064716, 0.030656, -0.097860, 
-0.031920, 0.038036, -0.012920, 
-0.142984, 0.009100, 0.061208, 
-0.019124, 0.031884, -0.044456, 
-0.035568, 0.009536, 0.047392, 
-0.046020, -0.008600, 0.176480, 
0.110516, 0.008752, 0.085280, 
0.043144, 0.009716, 0.005184, 
0.149824, 0.006392, 0.083132, 
0.139292, 0.014868, 0.049920, 
-0.080368, -0.027348, -0.049408, 
0.026100, -0.014152, 0.028624, 
0.128796, 0.134508, 0.018628, 
-0.084760, 0.057760, 0.053340, 
0.050380, -0.001944, -0.002292, 
0.015708, -0.171864, 0.035112, 
-0.111772, 0.212252, 0.023676, 
0.058460, 0.000460, 0.023192, 
-0.065500, 0.036924, -0.011736, 
0.069568, 0.099984, -0.044480, 
-0.104464, 0.125800, -0.077764, 
0.043728, -0.136752, -0.036208, 
0.162124, 0.045388, 0.003324, 
0.017296, 0.129732, 0.044300, 
0.069892, -0.112360, -0.039224, 
0.012756, -0.141936, 0.142940, 
0.055676, -0.030616, 0.024168, 
-0.065948, -0.003072, 0.092472, 
-0.019312, -0.035040, 0.044960, 
0.034396, 0.019620, 0.001636, 
0.047924, 0.052356, 0.041740, 
-0.164511, -0.055924, 0.008128, 
0.187860, 0.031948, 0.035992, 
-0.003620, -0.055732, 0.058520, 
0.091156, 0.027384, 0.028188, 
0.084980, 0.061352, -0.020240, 
-0.007176, 0.101244, 0.027336, 
-0.006372, 0.095976, 0.038752, 
-0.016568, 0.011516, -0.003480, 
-0.052924, -0.052128, 0.046416, 
0.192944, -0.026972, -0.034632, 
-0.133044, -0.004952, -0.073640, 
0.041108, 0.003188, -0.073316, 
0.165952, 0.101348, 0.040988, 
-0.025616, 0.109652, -0.056888, 
-0.048896, 0.011620, -0.005580, 
-0.105984, 0.073504, 0.105904, 
-0.103164, 0.141076, -0.003568, 
-0.170327, 0.047864, 0.022692, 
0.106020, 0.053728, 0.022992, 
0.057152, -0.037808, 0.030628, 
-0.006032, -0.023332, 0.018288, 
-0.013608, 0.041556, 0.017808, 
0.306285, 0.017268, 0.024396, 
0.119236, -0.013112, 0.091344, 
-0.071300, -0.102976, -0.019456, 
0.063828, 0.112176, -0.092576, 
0.004036, 0.096172, -0.050768, 
-0.135172, 0.080864, 0.108292, 
-0.124084, 0.080552, 0.009984, 
0.149848, -0.061904, -0.003268, 
-0.042392, 0.029972, 0.056180, 
-0.066880, 0.013224, 0.003236, 
0.102976, -0.147560, 0.024012, 
-0.004240, 0.056288, 0.076328, 
-0.130584, -0.158136, -0.016264, 
0.081536, -0.216683, -0.064308, 
-0.104472, 0.000484, -0.119232, 
-0.090504, 0.074656, 0.068860, 
-0.092140, -0.016444, 0.048676, 
0.061964, -0.080960, 0.006168, 
-0.070072, 0.035956, 0.014112, 
0.121616, -0.005016, 0.009636, 
0.018684, -0.094396, -0.041372, 
-0.071828, -0.000128, -0.062300, 
0.085216, -0.010652, -0.078464, 
-0.043476, -0.032836, -0.008144, 
0.089388, -0.104268, 0.190452, 
0.082692, 0.041848, -0.101152, 
0.077824, 0.033144, 0.031804, 
0.009400, -0.030856, 0.005008, 
0.128008, 0.068588, -0.035584, 
